vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht,rbc_probability
70,178,4.2098822594e-06,9.597104670539309e-05,-1.063665134316982e-17,-9.272389682759578e-07,0.3,0.3333333333333333
70,91,5.726008415199999e-06,3.887345747344081e-05,7.679439681358835e-17,3.947106951506642e-06,0.3,0.3333333333333333
71,200,4.6002764702e-06,0.0001124310195743,-5.340723133380521e-17,-4.012270276912655e-06,0.3,1.0
72,130,8.9052400588e-06,0.0001646688025573,-3.5725987566117793e-16,-8.076763008009748e-06,0.3,0.4516101460392511
72,90,4.4e-05,6.233683013071956e-05,2.8191944894229087e-15,2.396659341134915e-06,0.3,0.643860069837598
73,134,4.5157284736e-06,8.194379632744727e-05,2.074692687353409e-17,1.6082502503497584e-06,0.3,0.3333333333333333
73,115,4.488637924199999e-06,4.321660322394844e-05,2.227366687653013e-16,1.74419458734449e-05,0.3,0.3333333333333333
73,148,4.946747303000001e-06,6.0558291058738016e-05,6.695234121579601e-17,4.443821309633047e-06,0.3,0.3333333333333333
74,261,4.2911686898e-06,5.043733519410789e-05,-4.8519083358447136e-17,-4.0970100575228974e-06,0.3,1.0
75,238,4.4334101676e-06,9.940789794258504e-05,-1.2850944298896285e-17,-1.027497364535258e-06,0.3,0.3333333333333333
75,430,4.4608149528e-06,8.416452829760674e-05,1.7361429241934898e-17,1.373830203267414e-06,0.3,0.3333333333333333
75,124,4.3405241966e-06,3.289876597875266e-05,-4.5104849430387734e-18,-3.736638344102663e-07,0.3,0.3333333333333333
76,195,3.4e-05,0.000110599921619,2.544465692984664e-15,3.727204223290189e-06,0.3,1.0
76,6560,1.2e-05,5.31194979489121e-05,-3.8092971882734733e-16,-4.779312994673007e-06,0.3,1.0
77,120,3.2674906254e-06,0.000152378460691,2.3865209754734787e-17,3.1418387973196738e-06,0.3,0.3333333333333333
77,138,5.4452009202e-06,4.91160981605601e-05,5.758511707432234e-16,3.234728467833762e-05,0.3,0.3333333333333333
77,163,3.9481823444e-06,4.514480645422394e-05,2.7148316489629373e-16,2.631361648074631e-05,0.3,0.3333333333333333
78,104,3.7983298302e-06,0.0001005315246377,-2.978777898429983e-17,-3.075974931237744e-06,0.3,0.2829514944537293
78,153,4.910357475199999e-06,1.9099047147670304e-05,-1.9400385425839062e-16,-1.3040988482286946e-05,0.3,0.706046363873029
79,600,4.0490865708e-06,0.0001132382669399,-5.511687041716266e-17,-5.124839933492274e-06,0.3,1.0
80,85,4.3833656312e-06,3.253516942700322e-05,2.3824815482335328e-17,1.941541135427556e-06,0.3,0.19219829248059558
80,135,4.1937618256e-06,3.653784025749622e-05,3.7010312099656303e-17,3.2469689358700795e-06,0.3,0.8129607770163851
81,96,2e-05,0.0001181857080567,1.1993150065188343e-14,5.305797000827714e-05,0.3,0.3598228066627667
81,353,4.4e-05,0.0003206043413923,-1.3332695885306033e-13,-0.0001133441848581,0.3,0.6547442040248743
82,89,3.7486784458e-06,3.014553541208296e-05,8.355783583637272e-17,8.815456050134227e-06,0.3,1.0
82,139,3.101728200999999e-06,3.0755901397162674e-05,2.657758240339345e-17,3.801518804980821e-06,0.3,1.0
83,123,4.4392352104e-06,5.390483659759764e-05,-4.8810427860784655e-17,-3.894039501365267e-06,0.3,0.3333333333333333
83,144,2.4741356372e-06,1.4267220234572108e-05,-4.679077484804953e-18,-9.73247610259181e-07,0.3,0.3333333333333333
83,168,3.4109396934e-06,5.233415930022655e-05,-1.2668240124829712e-17,-1.5568671060137007e-06,0.3,0.3333333333333333
84,127,4.3781528472e-06,0.0001612307384054,-4.300988050860588e-18,-3.511973012183384e-07,0.3,0.3333333333333333
84,254,4.6047487258e-06,4.243393540575588e-05,1.1242653894321189e-17,8.432271227982095e-07,0.3,0.3333333333333333
